size = 122175
mmap = 5124 cycles time 0.000000 micro s 
FOUND 0 7552 cycles: time  4.442353 micro s
FOUND 64 164 cycles: time  0.096471 micro s
FOUND 128 164 cycles: time  0.096471 micro s
FOUND 192 164 cycles: time  0.096471 micro s
FOUND 256 160 cycles: time  0.094118 micro s
FOUND 320 164 cycles: time  0.096471 micro s
FOUND 384 164 cycles: time  0.096471 micro s
FOUND 448 164 cycles: time  0.096471 micro s
FOUND 512 164 cycles: time  0.096471 micro s
FOUND 576 164 cycles: time  0.096471 micro s
FOUND 640 164 cycles: time  0.096471 micro s
FOUND 704 164 cycles: time  0.096471 micro s
FOUND 4096 176 cycles: time  0.103529 micro s
FOUND 4160 160 cycles: time  0.094118 micro s
FOUND 4224 164 cycles: time  0.096471 micro s
FOUND 4288 164 cycles: time  0.096471 micro s
FOUND 4352 164 cycles: time  0.096471 micro s
FOUND 4416 164 cycles: time  0.096471 micro s
FOUND 4480 164 cycles: time  0.096471 micro s
FOUND 4544 160 cycles: time  0.094118 micro s
FOUND 4608 160 cycles: time  0.094118 micro s
FOUND 4672 164 cycles: time  0.096471 micro s
FOUND 4736 160 cycles: time  0.094118 micro s
FOUND 4800 168 cycles: time  0.098824 micro s
FOUND 8192 180 cycles: time  0.105882 micro s
FOUND 8256 164 cycles: time  0.096471 micro s
FOUND 8320 164 cycles: time  0.096471 micro s
FOUND 8384 160 cycles: time  0.094118 micro s
FOUND 8448 164 cycles: time  0.096471 micro s
FOUND 8512 160 cycles: time  0.094118 micro s
FOUND 8576 164 cycles: time  0.096471 micro s
FOUND 8640 164 cycles: time  0.096471 micro s
FOUND 8704 164 cycles: time  0.096471 micro s
FOUND 8768 400 cycles: time  0.235294 micro s
FOUND 8832 160 cycles: time  0.094118 micro s
FOUND 8896 164 cycles: time  0.096471 micro s
FOUND 10880 168 cycles: time  0.098824 micro s
FOUND 10944 448 cycles: time  0.263529 micro s
FOUND 11008 168 cycles: time  0.098824 micro s
FOUND 11072 164 cycles: time  0.096471 micro s
FOUND 11136 160 cycles: time  0.094118 micro s
FOUND 11200 164 cycles: time  0.096471 micro s
FOUND 11264 164 cycles: time  0.096471 micro s
FOUND 11328 164 cycles: time  0.096471 micro s
FOUND 11392 164 cycles: time  0.096471 micro s
FOUND 11456 164 cycles: time  0.096471 micro s
FOUND 11520 160 cycles: time  0.094118 micro s
FOUND 11584 164 cycles: time  0.096471 micro s
FOUND 12288 184 cycles: time  0.108235 micro s
FOUND 12352 164 cycles: time  0.096471 micro s
FOUND 12416 160 cycles: time  0.094118 micro s
FOUND 12480 316 cycles: time  0.185882 micro s
FOUND 12544 164 cycles: time  0.096471 micro s
FOUND 12608 164 cycles: time  0.096471 micro s
FOUND 12672 160 cycles: time  0.094118 micro s
FOUND 12736 168 cycles: time  0.098824 micro s
FOUND 12800 488 cycles: time  0.287059 micro s
FOUND 12864 160 cycles: time  0.094118 micro s
FOUND 12928 160 cycles: time  0.094118 micro s
FOUND 12992 296 cycles: time  0.174118 micro s
FOUND 16384 180 cycles: time  0.105882 micro s
FOUND 16448 164 cycles: time  0.096471 micro s
FOUND 16512 164 cycles: time  0.096471 micro s
FOUND 16576 168 cycles: time  0.098824 micro s
FOUND 16640 160 cycles: time  0.094118 micro s
FOUND 16704 164 cycles: time  0.096471 micro s
FOUND 16768 160 cycles: time  0.094118 micro s
FOUND 16832 164 cycles: time  0.096471 micro s
FOUND 16896 160 cycles: time  0.094118 micro s
FOUND 16960 164 cycles: time  0.096471 micro s
FOUND 17024 160 cycles: time  0.094118 micro s
FOUND 17088 164 cycles: time  0.096471 micro s
FOUND 20480 180 cycles: time  0.105882 micro s
FOUND 20544 164 cycles: time  0.096471 micro s
FOUND 20608 164 cycles: time  0.096471 micro s
FOUND 20672 164 cycles: time  0.096471 micro s
FOUND 20736 164 cycles: time  0.096471 micro s
FOUND 20800 164 cycles: time  0.096471 micro s
FOUND 20864 164 cycles: time  0.096471 micro s
FOUND 20928 164 cycles: time  0.096471 micro s
FOUND 20992 160 cycles: time  0.094118 micro s
FOUND 21056 164 cycles: time  0.096471 micro s
FOUND 21120 164 cycles: time  0.096471 micro s
FOUND 21184 564 cycles: time  0.331765 micro s
FOUND 21248 164 cycles: time  0.096471 micro s
FOUND 21312 160 cycles: time  0.094118 micro s
FOUND 21376 164 cycles: time  0.096471 micro s
FOUND 21440 164 cycles: time  0.096471 micro s
FOUND 21460 232 cycles: time  0.136471 micro s
FOUND 21504 168 cycles: time  0.098824 micro s
FOUND 21568 160 cycles: time  0.094118 micro s
FOUND 21632 164 cycles: time  0.096471 micro s
FOUND 21696 160 cycles: time  0.094118 micro s
FOUND 21760 168 cycles: time  0.098824 micro s
FOUND 21824 580 cycles: time  0.341176 micro s
FOUND 21888 164 cycles: time  0.096471 micro s
FOUND 21952 160 cycles: time  0.094118 micro s
FOUND 22016 164 cycles: time  0.096471 micro s
FOUND 22080 160 cycles: time  0.094118 micro s
FOUND 22144 164 cycles: time  0.096471 micro s
FOUND 22208 160 cycles: time  0.094118 micro s
FOUND 23274 360 cycles: time  0.211765 micro s
FOUND 24576 180 cycles: time  0.105882 micro s
FOUND 24640 160 cycles: time  0.094118 micro s
FOUND 24704 164 cycles: time  0.096471 micro s
FOUND 24768 164 cycles: time  0.096471 micro s
FOUND 24832 164 cycles: time  0.096471 micro s
FOUND 24896 160 cycles: time  0.094118 micro s
FOUND 24960 164 cycles: time  0.096471 micro s
FOUND 25024 164 cycles: time  0.096471 micro s
